Title,DOI,Link
Hyla-SLAM: Toward Maximally Scalable 3D LiDAR-Based SLAM Using Dynamic Memory Management and Behavior Trees,10.1109/IROS60139.2025.11247133,https://www.scopus.com/pages/publications/105029924596?origin=resultslist
EffBT: An Efficient Behavior Tree Reactive Synthesis and Execution Framework,10.1109/ICSE55347.2025.00225,https://www.scopus.com/pages/publications/105010337344?origin=resultslist
Auction-Based Behavior Tree Evolution for Heterogeneous Multi-Agent Systems,10.3390/app14177896,https://www.scopus.com/pages/publications/85203849092?origin=resultslist
Innovating Robotic Garment Handling Through the Integration of Large Language Models and Behavior Trees,10.1109/ROBIO64047.2024.10907326,https://www.scopus.com/pages/publications/105001489682?origin=resultslist
A Survey of Behavior Tree-Based Task Planning Algorithms for Autonomous Robotic Systems,10.1109/ICTC62082.2024.10827191,https://www.scopus.com/pages/publications/85217701398?origin=resultslist
An intuitive tele-collaboration interface exploring laser-based interaction and behavior trees,10.1016/j.robot.2025.105054,https://www.scopus.com/pages/publications/105007091706?origin=resultslist
An Automatic Simulation Method for Three-Dimensional Drills Integrating Behavior Trees and DQN Algorithm,10.1109/SPIC68204.2025.11470896,https://www.scopus.com/pages/publications/105037428858?origin=resultslist
BT2Automata: Expressing Behavior Trees as Automata for Formal Control Synthesis,10.1145/3716863.3718042,https://www.scopus.com/pages/publications/105007513588?origin=resultslist
An Integrated Product-Process Representation for Deriving Robotic Task Structures using Graph Transformations,10.22260/ISARC2026/0284,https://www.scopus.com/pages/publications/105046004255?origin=resultslist
Anchoring actions using conditional behavior trees and genetic programming,10.1007/s10489-025-06373-w,https://www.scopus.com/pages/publications/85219619037?origin=resultslist
Effects of specifying robotic missions in behavior trees and state machines,10.1016/j.cola.2025.101330,https://www.scopus.com/pages/publications/105013652191?origin=resultslist
Formalizing Stateful Behavior Trees,10.4204/EPTCS.411.14,https://www.scopus.com/pages/publications/85211955657?origin=resultslist
BTGenBot: Behavior Tree Generation for Robotic Tasks with Lightweight LLMs,10.1109/IROS58592.2024.10802304,https://www.scopus.com/pages/publications/85216502395?origin=resultslist
Assessing Small Language Models for Translating Spanish Instructions into Behavior Trees; [Evaluación de Modelos de Lenguaje Pequeños para la Conversión de Instrucciones en Español a Árboles de Comportamiento],10.26342/2025-75-18,https://www.scopus.com/pages/publications/105021131199?origin=resultslist
"Integrated Opposite-Phase Kinematics, Hybrid-A∗ Planning, and MPPI Control for Autonomous Navigation in Agricultural Environment",10.1109/UR69537.2026.11626756,https://www.scopus.com/pages/publications/105046998889?origin=resultslist
Multimodal Autonomous Robotic Long-Horizon Task Planning via Embodied Language Model and Behavior Trees,10.1109/IROS60139.2025.11246018,https://www.scopus.com/pages/publications/105029957197?origin=resultslist
An Automated Decision Support System for Pre-planning of Precast Bridge Installation using Heuristic-Based Simulation and Invariant Signatures,10.22260/ISARC2026/0009,https://www.scopus.com/pages/publications/105046005309?origin=resultslist
Trustworthy Robot Behavior Tree Generation Based on Multi-Source Heterogeneous Knowledge Graph,10.1109/ICRA55743.2025.11127406,https://www.scopus.com/pages/publications/105016566322?origin=resultslist
LLM-BRAIn: AI-driven Fast Generation of Robot Behaviour Tree based on Large Language Model,10.1109/FLLM63129.2024.10852491,https://www.scopus.com/pages/publications/85218351451?origin=resultslist
A Hierarchical Approach to Evolving Behaviour-Trees for Swarm Control,10.1007/978-3-031-56852-7_12,https://www.scopus.com/pages/publications/85189618455?origin=resultslist
Towards Transparent Multi-Agent Autonomous Systems Through Principled Multi-Source Knowledge Distillation,10.1109/ICRA55743.2025.11127443,https://www.scopus.com/pages/publications/105016673381?origin=resultslist
MRBTP: Efficient Multi-Robot Behavior Tree Planning and Collaboration,10.1609/aaai.v39i14.33594,https://www.scopus.com/pages/publications/105004003511?origin=resultslist
BT-ACTION: A Test-Driven Approach for Modular Understanding of User Instruction Leveraging Behaviour Trees and LLMs,10.1109/RO-MAN63969.2025.11217657,https://www.scopus.com/pages/publications/105024540475?origin=resultslist
Multi-modal Sketch-Based Behavior Tree Synthesis,10.1145/3763178,https://www.scopus.com/pages/publications/105018573058?origin=resultslist
